STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,DEWP,FRSHTT,GUST,MAX,MIN,MXSPD,PRCP,SLP,SNDP,STP,TEMP
52418099999,"DUNHUANG, CH",40.15,94.6833333,1140,2020/1/2,6.8,0,999.9,34.7,5.5,3.9,0,1034.7,999.9,895.4,20.2
52418099999,"DUNHUANG, CH",40.15,94.6833333,1140,2020/1/3,5.8,0,11.5,34.7,7.9,6.6,0,1029.3,999.9,890.8,21.2
52418099999,"DUNHUANG, CH",40.15,94.6833333,1140,2020/1/4,7.2,0,13.4,34.7,7,7.8,0,1027.8,999.9,889.7,22.3
52418099999,"DUNHUANG, CH",40.15,94.6833333,1140,2020/1/5,6.2,0,13.4,33.4,7,3.9,0,1031.8,999.9,892.8,18.3
52418099999,"DUNHUANG, CH",40.15,94.6833333,1140,2020/1/6,3.3,0,999.9,33.3,5.5,2.7,0,1030.6,999.9,890.9,16.7
52418099999,"DUNHUANG, CH",40.15,94.6833333,1140,2020/1/7,4,0,15.3,33.3,5.2,7.8,0,1031.3,999.9,891.7,18.4
52418099999,"DUNHUANG, CH",40.15,94.6833333,1140,2020/1/8,4.7,0,10.9,30.9,4.5,4.7,0,1032.4,999.9,892.7,17.1
52418099999,"DUNHUANG, CH",40.15,94.6833333,1140,2020/1/9,7,0,11.5,31.1,4.5,3.9,0,1033.2,999.9,894,21.8
52418099999,"DUNHUANG, CH",40.15,94.6833333,1140,2020/1/10,8.1,0,999.9,36.7,8.8,3.9,0,1028.6,999.9,891.1,24.3
52418099999,"DUNHUANG, CH",40.15,94.6833333,1140,2020/1/11,8,0,14,36.7,11.8,7.2,0,1029.1,999.9,891.5,23.6
52418099999,"DUNHUANG, CH",40.15,94.6833333,1140,2020/1/12,7,0,15.2,36,8.2,7.8,0,1025.3,999.9,887.8,22.1
52418099999,"DUNHUANG, CH",40.15,94.6833333,1140,2020/1/13,5.6,0,14.4,36,8.2,4.7,0,1021.7,999.9,884.1,20.9
52418099999,"DUNHUANG, CH",40.15,94.6833333,1140,2020/1/14,6.1,0,25.1,28.2,10.9,13.6,0,1025.2,999.9,887.4,21.7
52418099999,"DUNHUANG, CH",40.15,94.6833333,1140,2020/1/15,9.1,0,15.2,33.4,10.8,7,0,1032.8,999.9,894.5,22.3
52418099999,"DUNHUANG, CH",40.15,94.6833333,1140,2020/1/16,8.8,0,999.9,34.2,8.6,2.7,0,1033.8,999.9,894.4,18.9
52418099999,"DUNHUANG, CH",40.15,94.6833333,1140,2020/1/17,13.4,1000,21.8,34.2,8.6,8.5,0.03,1037.6,999.9,898.3,23.7
52418099999,"DUNHUANG, CH",40.15,94.6833333,1140,2020/1/18,12.3,0,19,33.6,9.3,3.9,0,1038.9,999.9,899.9,22.2
52418099999,"DUNHUANG, CH",40.15,94.6833333,1140,2020/1/19,10.4,0,9.7,33.6,7.3,4.7,0,1033.6,999.9,894.4,19.7
52418099999,"DUNHUANG, CH",40.15,94.6833333,1140,2020/1/20,10.9,0,999.9,33.8,5.9,5.2,0,1026.8,999.9,888.5,21.2
52418099999,"DUNHUANG, CH",40.15,94.6833333,1140,2020/1/21,9.8,0,13,33.8,5.9,7.8,0,1028.5,999.9,890.5,20.6
52418099999,"DUNHUANG, CH",40.15,94.6833333,1140,2020/1/22,8,0,10.7,35.2,4.6,5.6,0,1031.8,999.9,892.5,19.6
52418099999,"DUNHUANG, CH",40.15,94.6833333,1140,2020/1/23,8.3,0,12.8,38.3,4.6,7.2,0,1035.2,999.9,896.4,24.5
52418099999,"DUNHUANG, CH",40.15,94.6833333,1140,2020/1/24,7.2,0,12.8,38.3,5.5,5.8,0,1033.7,999.9,895.2,20.9
52418099999,"DUNHUANG, CH",40.15,94.6833333,1140,2020/1/25,3.3,0,17.1,42.8,5.7,6.2,0,1027.2,999.9,889.5,24.6
52418099999,"DUNHUANG, CH",40.15,94.6833333,1140,2020/1/26,4.5,0,12.8,42.8,5.7,4.1,0,1029.1,999.9,891.1,21.2
52418099999,"DUNHUANG, CH",40.15,94.6833333,1140,2020/1/27,4.4,0,999.9,38.5,7.2,1.9,0,1029.4,999.9,891,21.1
52418099999,"DUNHUANG, CH",40.15,94.6833333,1140,2020/1/28,4.1,0,999.9,39.9,6.1,3.9,0,1032.1,999.9,893.4,21.4
52418099999,"DUNHUANG, CH",40.15,94.6833333,1140,2020/1/29,3.6,0,999.9,39.9,6.1,3.1,0,1033.1,999.9,894,20.5
52418099999,"DUNHUANG, CH",40.15,94.6833333,1140,2020/1/30,6.2,0,999.9,39.6,6.6,5.2,0,1030.4,999.9,892.3,24.2
52418099999,"DUNHUANG, CH",40.15,94.6833333,1140,2020/1/31,6.6,0,999.9,37.9,7.9,4.7,0,1030.3,999.9,892.8,26.1
52418099999,"DUNHUANG, CH",40.15,94.6833333,1140,2020/2/1,4.4,0,999.9,40.6,9.1,2.7,0,1033.2,999.9,895.3,22.4
52418099999,"DUNHUANG, CH",40.15,94.6833333,1140,2020/2/2,1.4,0,999.9,40.8,8.1,3.9,0,1030.6,999.9,892.3,22.3
52418099999,"DUNHUANG, CH",40.15,94.6833333,1140,2020/2/3,2.1,0,13.2,40.8,8.1,5.8,0,1028.3,999.9,890.5,23.2
52418099999,"DUNHUANG, CH",40.15,94.6833333,1140,2020/2/4,-1.6,0,12.4,45.5,7.9,5.8,0,1025.8,999.9,888.5,25.8
52418099999,"DUNHUANG, CH",40.15,94.6833333,1140,2020/2/5,0.5,0,16.5,45.5,7.9,7.8,0,1026.8,999.9,889.9,26.3
52418099999,"DUNHUANG, CH",40.15,94.6833333,1140,2020/2/6,2.7,0,11.3,43.7,8.1,5.8,0,1028.6,999.9,892.1,28.5
52418099999,"DUNHUANG, CH",40.15,94.6833333,1140,2020/2/7,2.9,0,10.5,43.7,9,5.4,0,1036.3,999.9,898.9,27.6
52418099999,"DUNHUANG, CH",40.15,94.6833333,1140,2020/2/8,0.9,0,999.9,49.3,11.5,4.3,0,1037.2,999.9,900,30.5
52418099999,"DUNHUANG, CH",40.15,94.6833333,1140,2020/2/9,-2.8,0,999.9,50,11.8,3.9,0,1025.1,999.9,889.9,30.6
52418099999,"DUNHUANG, CH",40.15,94.6833333,1140,2020/2/10,0.8,0,24.7,50,12.7,11.8,0,1021.5,999.9,886.7,31.5
52418099999,"DUNHUANG, CH",40.15,94.6833333,1140,2020/2/11,0,0,999.9,50.9,12.7,4.7,0,1018.5,999.9,884.1,31
52418099999,"DUNHUANG, CH",40.15,94.6833333,1140,2020/2/12,2.2,0,20.4,50.9,12.7,9.7,0,1018.9,999.9,885.7,37.6
52418099999,"DUNHUANG, CH",40.15,94.6833333,1140,2020/2/13,0.6,0,24.7,50.2,17.2,13.6,0,1027.2,999.9,891.8,29.3
52418099999,"DUNHUANG, CH",40.15,94.6833333,1140,2020/2/14,-2.7,0,33.8,41.4,9.7,15.5,0,1040,999.9,900.3,19.5
52418099999,"DUNHUANG, CH",40.15,94.6833333,1140,2020/2/15,-1.3,0,20.4,36.7,7.5,6.8,0,1037.4,999.9,897.8,23.2
52418099999,"DUNHUANG, CH",40.15,94.6833333,1140,2020/2/16,-5.3,0,18.8,36.7,7.5,8.9,0,1037.1,999.9,899.1,27.8
52418099999,"DUNHUANG, CH",40.15,94.6833333,1140,2020/2/17,-2.8,0,18.8,37.4,15.8,7,0,1037.6,999.9,899.8,26.4
52418099999,"DUNHUANG, CH",40.15,94.6833333,1140,2020/2/18,0.2,0,12.2,44.6,14.4,5.8,0,1025.7,999.9,889.6,28.8
52418099999,"DUNHUANG, CH",40.15,94.6833333,1140,2020/2/19,10.6,1000,26.2,44.6,12.4,13.6,0.02,1037.2,999.9,899.3,25.9
52418099999,"DUNHUANG, CH",40.15,94.6833333,1140,2020/2/20,11.3,0,22.3,43,11.8,11.3,0,1039.7,0.4,901.6,29
52418099999,"DUNHUANG, CH",40.15,94.6833333,1140,2020/2/21,7.5,0,999.9,49.1,13.1,3.3,0,1033,999.9,896.8,31
52418099999,"DUNHUANG, CH",40.15,94.6833333,1140,2020/2/22,5.2,0,999.9,53.1,15.1,3.9,0,1025.1,999.9,890.4,34.1
52418099999,"DUNHUANG, CH",40.15,94.6833333,1140,2020/2/23,6.1,0,19.6,53.1,17.6,10.3,0,1023.2,999.9,890,40.2
52418099999,"DUNHUANG, CH",40.15,94.6833333,1140,2020/2/24,6.9,0,14,57.2,21.9,7.8,0,1019.1,999.9,886.6,37.7
52418099999,"DUNHUANG, CH",40.15,94.6833333,1140,2020/2/25,8.1,0,12.8,58.8,24.4,5.8,0,1019.5,999.9,887.4,42.8
52418099999,"DUNHUANG, CH",40.15,94.6833333,1140,2020/2/26,12.5,0,16.3,58.8,24.4,8.4,0,1024.8,999.9,892.4,42.7
52418099999,"DUNHUANG, CH",40.15,94.6833333,1140,2020/2/27,9.1,0,9.9,62.4,24.4,4.7,0,1017.4,999.9,886.2,42.7
52418099999,"DUNHUANG, CH",40.15,94.6833333,1140,2020/2/28,11.4,0,19.6,62.4,25,10.3,0,1020.6,999.9,888.7,42.9
52418099999,"DUNHUANG, CH",40.15,94.6833333,1140,2020/2/29,13.6,0,12.2,55.2,26.4,3.9,0,1026.8,999.9,893.4,37.5
52418099999,"DUNHUANG, CH",40.15,94.6833333,1140,2020/3/1,10.7,0,12.4,54,23.4,5.4,0,1026.9,999.9,892.9,37.4
52418099999,"DUNHUANG, CH",40.15,94.6833333,1140,2020/3/2,6.2,0,12.4,54.9,22.3,4.5,0,1026.4,999.9,893.2,39.9
52418099999,"DUNHUANG, CH",40.15,94.6833333,1140,2020/3/3,6,0,10.5,57.7,23.5,3.9,0,1022.6,999.9,889.8,39.3
52418099999,"DUNHUANG, CH",40.15,94.6833333,1140,2020/3/4,7.4,0,17.1,57.7,23.4,8.4,0,1018,999.9,886,41
52418099999,"DUNHUANG, CH",40.15,94.6833333,1140,2020/3/5,9.4,0,18.8,56.1,23.4,8.2,0,1017.6,999.9,885.6,39.4
52418099999,"DUNHUANG, CH",40.15,94.6833333,1140,2020/3/6,7.1,0,17.1,60.6,21,9.7,0,1011.9,999.9,880.5,40.5
52418099999,"DUNHUANG, CH",40.15,94.6833333,1140,2020/3/7,4.9,0,10.1,60.6,21,4.7,0,1012.7,999.9,881.5,42.1
52418099999,"DUNHUANG, CH",40.15,94.6833333,1140,2020/3/8,16.8,11000,19.2,50.9,17.8,9.7,0.02,1032.4,999.9,897.2,30.6
52418099999,"DUNHUANG, CH",40.15,94.6833333,1140,2020/3/9,4.2,0,17.5,41.9,14.9,7,0,1035.7,999.9,898.3,28.9
52418099999,"DUNHUANG, CH",40.15,94.6833333,1140,2020/3/10,-1.4,0,12.6,53.6,14.9,6.4,0,1023.7,999.9,889.7,38.6
52418099999,"DUNHUANG, CH",40.15,94.6833333,1140,2020/3/11,3.9,0,17.9,53.6,16,9.7,0,1022.5,999.9,889.6,38
52418099999,"DUNHUANG, CH",40.15,94.6833333,1140,2020/3/12,5,0,16.1,48,20.8,6.6,0,1032.4,999.9,897,32.9
52418099999,"DUNHUANG, CH",40.15,94.6833333,1140,2020/3/13,6.8,0,16.9,53.6,17.4,8.5,0,1031.1,999.9,896.1,35.9
52418099999,"DUNHUANG, CH",40.15,94.6833333,1140,2020/3/14,3.3,0,12.8,53.6,19,6.4,0,1027.7,999.9,894.1,41.4
52418099999,"DUNHUANG, CH",40.15,94.6833333,1140,2020/3/15,1.9,0,13.2,56.3,20.8,7.8,0,1026.8,999.9,894.6,42.8
52418099999,"DUNHUANG, CH",40.15,94.6833333,1140,2020/3/16,2,0,10.5,61.5,25.5,3.9,0,1028.6,999.9,895.7,42.5
52418099999,"DUNHUANG, CH",40.15,94.6833333,1140,2020/3/17,0.6,0,20.8,61.5,25.9,12,0,1025.2,999.9,893.8,47.6
52418099999,"DUNHUANG, CH",40.15,94.6833333,1140,2020/3/18,6.5,0,15.3,64.6,30,6,0,1022.4,999.9,891.6,48.7
52418099999,"DUNHUANG, CH",40.15,94.6833333,1140,2020/3/19,7.4,0,12.4,66,30,6,0,1015.6,999.9,886.2,49.3
52418099999,"DUNHUANG, CH",40.15,94.6833333,1140,2020/3/20,4.4,0,16.3,67.3,31.6,5.8,0,1012.2,999.9,883,49.1
52418099999,"DUNHUANG, CH",40.15,94.6833333,1140,2020/3/21,9.5,0,12.8,70,31.6,6.8,0,1011.2,999.9,882.4,50.4
52418099999,"DUNHUANG, CH",40.15,94.6833333,1140,2020/3/22,14.3,0,21.6,70,32.7,10.5,0,1015.8,999.9,886.6,51.2
52418099999,"DUNHUANG, CH",40.15,94.6833333,1140,2020/3/23,15.1,0,15.9,67.8,33.6,6.8,0,1015.8,999.9,886.6,51.4
52418099999,"DUNHUANG, CH",40.15,94.6833333,1140,2020/3/24,12.8,0,22.1,73,33.8,9.7,0,1005.7,999.9,878.7,55.8
52418099999,"DUNHUANG, CH",40.15,94.6833333,1140,2020/3/25,1.4,0,28,73,34,16.7,0,1016.1,999.9,886.2,45.4
52418099999,"DUNHUANG, CH",40.15,94.6833333,1140,2020/3/26,-4.8,0,31.3,56.8,31.5,13.6,0,1024.4,999.9,891.9,41.1
52418099999,"DUNHUANG, CH",40.15,94.6833333,1140,2020/3/27,3.2,0,999.9,56.7,30.7,7.8,0,1022.8,999.9,890.7,42.6
52418099999,"DUNHUANG, CH",40.15,94.6833333,1140,2020/3/28,7.6,0,999.9,61,28.4,3.9,0,1016.9,999.9,886,45
52418099999,"DUNHUANG, CH",40.15,94.6833333,1140,2020/3/29,11.6,0,999.9,61.7,28.4,7.8,0,1014.2,999.9,884.8,51.4
52418099999,"DUNHUANG, CH",40.15,94.6833333,1140,2020/3/30,15.9,0,999.9,63.3,35.6,11.7,0,1016.2,999.9,887.2,50.7
52418099999,"DUNHUANG, CH",40.15,94.6833333,1140,2020/3/31,17.3,0,999.9,63.3,35.4,13.6,0,1020.6,999.9,889.7,44.5
52418099999,"DUNHUANG, CH",40.15,94.6833333,1140,2020/4/1,19.4,0,999.9,59.7,32.7,9.7,0,1018.7,999.9,887.7,45.9
52418099999,"DUNHUANG, CH",40.15,94.6833333,1140,2020/4/2,8,0,999.9,62.6,31.3,9.7,0,1020.9,999.9,890.1,47.2
52418099999,"DUNHUANG, CH",40.15,94.6833333,1140,2020/4/3,5.7,0,999.9,62.8,30.6,3.9,0,1024.3,999.9,893.3,47.9
52418099999,"DUNHUANG, CH",40.15,94.6833333,1140,2020/4/4,7.9,0,999.9,65.3,30.6,5.8,0,1023,999.9,892.7,50.8
52418099999,"DUNHUANG, CH",40.15,94.6833333,1140,2020/4/5,12.9,0,999.9,67.3,36.3,7.8,0,1019.1,999.9,889.9,52.6
52418099999,"DUNHUANG, CH",40.15,94.6833333,1140,2020/4/6,11,0,999.9,69.8,35.8,9.7,0,1018.7,999.9,889.6,56
52418099999,"DUNHUANG, CH",40.15,94.6833333,1140,2020/4/7,11.2,0,999.9,73.6,37.6,5.8,0,1014.4,999.9,886.7,59.4
52418099999,"DUNHUANG, CH",40.15,94.6833333,1140,2020/4/8,9.5,0,999.9,75.9,40.5,3.9,0,1013.7,999.9,886.3,57.7
52418099999,"DUNHUANG, CH",40.15,94.6833333,1140,2020/4/9,8.6,0,999.9,77,37.9,17.5,0,1011.2,999.9,884.7,62.2
52418099999,"DUNHUANG, CH",40.15,94.6833333,1140,2020/4/10,3,0,999.9,77,40.6,21.4,0,1015.7,999.9,887.9,55.3
52418099999,"DUNHUANG, CH",40.15,94.6833333,1140,2020/4/11,1.8,0,999.9,67.6,36.7,7.8,0,1018.6,999.9,890,56.1
52418099999,"DUNHUANG, CH",40.15,94.6833333,1140,2020/4/12,3,0,999.9,74.7,37.9,3.9,0,1016,999.9,888.9,61.4
52418099999,"DUNHUANG, CH",40.15,94.6833333,1140,2020/4/13,20.7,0,999.9,79.7,43.2,3.9,0,1009.2,999.9,884,64.4
52418099999,"DUNHUANG, CH",40.15,94.6833333,1140,2020/4/14,24.4,0,999.9,84.9,49.5,7.8,0,1004.9,999.9,880.5,66.7
52418099999,"DUNHUANG, CH",40.15,94.6833333,1140,2020/4/15,30.8,0,999.9,84.9,48.7,13.6,0,1005.6,999.9,881.2,67.4
52418099999,"DUNHUANG, CH",40.15,94.6833333,1140,2020/4/16,19.1,0,31.7,80.8,52.2,13.6,0,1007,999.9,882.2,65.4
52418099999,"DUNHUANG, CH",40.15,94.6833333,1140,2020/4/17,22.9,0,999.9,76.3,45.7,9.7,0,1009.8,999.9,883.7,58.1
52418099999,"DUNHUANG, CH",40.15,94.6833333,1140,2020/4/18,26.4,0,999.9,75.4,41.9,9.7,0,1011,999.9,884.3,60.8
52418099999,"DUNHUANG, CH",40.15,94.6833333,1140,2020/4/19,16.3,0,999.9,75.4,44.1,19.4,0,1013.6,999.9,886.8,59.2
52418099999,"DUNHUANG, CH",40.15,94.6833333,1140,2020/4/20,8.9,0,999.9,69.6,44.1,9.7,0,1017.4,999.9,889.3,56.4
52418099999,"DUNHUANG, CH",40.15,94.6833333,1140,2020/4/21,7.3,0,999.9,70.5,37.8,7.8,0,1017,999.9,888.9,55.5
52418099999,"DUNHUANG, CH",40.15,94.6833333,1140,2020/4/22,5.9,0,999.9,73.2,33.3,5.8,0,1017.4,999.9,889.3,57.4
52418099999,"DUNHUANG, CH",40.15,94.6833333,1140,2020/4/23,1.3,0,999.9,73.2,36.7,11.7,0,1020.5,999.9,892.1,56.3
